"CVE","CWE","Description","Chains","Weakness_Description"
"CVE-2021-46480","CWE-122","Jsish v3.5.0 was discovered to contain a heap buffer overflow via jsiValueObjDelete in src/jsiEval.c. This vulnerability can lead to a Denial of Service (DoS).","","heap buffer overflow"
"CVE-2021-46482","CWE-122","Jsish v3.5.0 was discovered to contain a heap buffer overflow via NumberConstructor at src/jsiNumber.c.","","heap buffer overflow"
"CVE-2021-46483","CWE-122","Jsish v3.5.0 was discovered to contain a heap buffer overflow via BooleanConstructor at src/jsiBool.c.","","heap buffer overflow"
"CVE-2021-46505","CWE-674","Jsish v3.5.0 was discovered to contain a stack overflow via /usr/lib/x86_64-linux-gnu/libasan.so.4+0x5b1e5.","","stack overflow"
"CVE-2021-46507","CWE-674","Jsish v3.5.0 was discovered to contain a stack overflow via Jsi_LogMsg at src/jsiUtils.c.","","stack overflow"
"CVE-2021-46509","CWE-674","Cesanta MJS v2.20.0 was discovered to contain a stack overflow via snquote at mjs/src/mjs_json.c.","","stack overflow"
"CVE-2021-46518","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via mjs_disown at src/mjs_core.c.","","heap buffer overflow"
"CVE-2021-46519","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via mjs_array_length at src/mjs_array.c.","","heap buffer overflow"
"CVE-2021-46520","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via mjs_jprintf at src/mjs_util.c.","","heap buffer overflow"
"CVE-2021-46522","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via /usr/lib/x86_64-linux-gnu/libasan.so.4+0xaff53.","","heap buffer overflow"
"CVE-2021-46523","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via to_json_or_debug at mjs/src/mjs_json.c.","","heap buffer overflow"
"CVE-2021-46524","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via snquote at mjs/src/mjs_json.c.","","heap buffer overflow"
"CVE-2021-46527","CWE-122","Cesanta MJS v2.20.0 was discovered to contain a heap buffer overflow via mjs_get_cstring at src/mjs_string.c.","","heap buffer overflow"
"CVE-2021-46598","CWE-20","This vulnerability allows remote attackers to execute arbitrary code on affected installations of Bentley MicroStation CONNECT 10.16.0.80. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the parsing of JT files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-15392.","CWE-20->CWE-787","lack of proper validation of user-supplied data... memory corruption"
"CVE-2021-46699","CWE-121","A vulnerability has been identified in Simcenter Femap (All versions < V2022.1.1). Affected application contains a stack based buffer overflow vulnerability while parsing specially crafted BDF files. This could allow an attacker to execute code in the context of the current process. (ZDI-CAN-15061)","","stack based buffer overflow"
"CVE-2021-46768","CWE-20","Insufficient input validation in SEV firmware may allow an attacker to perform out-of-bounds memory reads within the ASP boot loader, potentially leading to a denial of service. ","CWE-20->CWE-125","Insufficient input validation"
"CVE-2021-46814","CWE-125","The video framework has an out-of-bounds memory read/write vulnerability. Successful exploitation of this vulnerability may affect system availability.","","out-of-bounds memory read/write"
"CVE-2021-46822","CWE-122","The PPM reader in libjpeg-turbo through 2.0.90 mishandles use of tjLoadImage for loading a 16-bit binary PPM file into a grayscale buffer and loading a 16-bit binary PGM file into an RGB buffer. This is related to a heap-based buffer overflow in the get_word_rgb_row function in rdppm.c.","","heap-based buffer overflow"
"CVE-2021-46829","CWE-190","GNOME GdkPixbuf (aka GDK-PixBuf) before 2.42.8 allows a heap-based buffer overflow when compositing or clearing frames in GIF files, as demonstrated by io-gif-animation.c composite_frame. This overflow is controllable and could be abused for code execution, especially on 32-bit systems.","CWE-190->CWE-122","heap-based buffer overflow"
"CVE-2021-46848","CWE-193","GNU Libtasn1 before 4.19.0 has an ETYPE_OK off-by-one array size check that affects asn1_encode_simple_der.","CWE-193->CWE-125","off-by-one array size check"
"CVE-2022-0096","CWE-416","Use after free in Storage in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0098","CWE-416","Use after free in Screen Capture in Google Chrome on Chrome OS prior to 97.0.4692.71 allowed an attacker who convinced a user to perform specific user gestures to potentially exploit heap corruption via specific user gestures.","CWE-416->CWE-122","Use after free"
"CVE-2022-0099","CWE-416","Use after free in Sign-in in Google Chrome prior to 97.0.4692.71 allowed a remote attacker who convinced a user to perform specific user gestures to potentially exploit heap corruption via specific user gesture.","","Use after free"
"CVE-2022-0100","CWE-122","Heap buffer overflow in Media streams API in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.",""," Heap buffer overflow"
"CVE-2022-0101","CWE-122","Heap buffer overflow in Bookmarks in Google Chrome prior to 97.0.4692.71 allowed a remote attacker who convinced a user to perform specific user gesture to potentially exploit heap corruption via specific user gesture.",""," Heap buffer overflow"
"CVE-2022-0102","CWE-843","Type confusion in V8 in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","CWE-843->CWE-122","Type confusion"
"CVE-2022-0103","CWE-416","Use after free in SwiftShader in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0104","CWE-122","Heap buffer overflow in ANGLE in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Heap buffer overflow"
"CVE-2022-0105","CWE-416","Use after free in PDF Accessibility in Google Chrome prior to 97.0.4692.71 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0106","CWE-416","Use after free in Autofill in Google Chrome prior to 97.0.4692.71 allowed a remote attacker who convinced a user to perform specific user gesture to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0107","CWE-416","Use after free in File Manager API in Google Chrome on Chrome OS prior to 97.0.4692.71 allowed an attacker who convinced a user to install a malicious extension to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0137","CWE-122","A heap buffer overflow in image_set_mask function of HTMLDOC before 1.9.15 allows an attacker to write outside the buffer boundaries.","","heap buffer overflow"
"CVE-2022-0185","CWE-191","A heap-based buffer overflow flaw was found in the way the legacy_parse_param function in the Filesystem Context functionality of the Linux kernel verified the supplied parameters length. An unprivileged (in case of unprivileged user namespaces enabled, otherwise needs namespaced CAP_SYS_ADMIN privilege) local user able to open a filesystem that does not support the Filesystem Context API (and thus fallbacks to legacy handling) could use this flaw to escalate their privileges on the system.","CWE-191->CWE-122","heap-based buffer overflow"
"CVE-2022-0204","CWE-190","A heap overflow vulnerability was found in bluez in versions prior to 5.63. An attacker with local network access could pass specially crafted files causing an application to halt or crash, leading to a denial of service.","CWE-190->CWE-122","heap overflow"
"CVE-2022-0261","CWE-122","Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.","","Heap-based Buffer Overflow"
"CVE-2022-0289","CWE-416","Use after free in Safe browsing in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0293","CWE-416","Use after free in Web packaging in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0295","CWE-416","Use after free in Omnibox in Google Chrome prior to 97.0.4692.99 allowed a remote attacker who convinced the user to engage is specific user interactions to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0296","CWE-416","Use after free in Printing in Google Chrome prior to 97.0.4692.99 allowed a remote attacker who convinced the user to engage is specific user interactions to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0297","CWE-416","Use after free in Vulkan in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","CWE-416->CWE-122","Use after free"
"CVE-2022-0298","CWE-416","Use after free in Scheduling in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0300","CWE-416","Use after free in Text Input Method Editor in Google Chrome on Android prior to 97.0.4692.99 allowed a remote attacker who convinced a user to engage in specific user interactions to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0301","CWE-416","Heap buffer overflow in DevTools in Google Chrome prior to 97.0.4692.99 allowed an attacker who convinced a user to install a malicious extension to potentially exploit heap corruption via a crafted HTML page.","","Use after free"
"CVE-2022-0302","CWE-416","Use after free in Omnibox in Google Chrome prior to 97.0.4692.99 allowed an attacker who convinced a user to engage in specific user interactions to potentially exploit heap corruption via a crafted HTML page.","CWE-416->CWE-122","Use after free.. exploit heap corruption via a crafted HTML page"
"CVE-2022-0304","CWE-416","Use after free in Bookmarks in Google Chrome prior to 97.0.4692.99 allowed a remote attacker who convinced a user to engage in specific user interactions to potentially exploit heap corruption via a crafted HTML page.","CWE-416->CWE-122","Use after free ... exploit heap corruption via a crafted HTML page"
"CVE-2022-0306","CWE-122","Heap buffer overflow in PDFium in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.","","Heap buffer overflow"
"CVE-2022-0307","CWE-416","Use after free in Optimization Guide in Google Chrome prior to 97.0.4692.99 allowed a remote attacker who convinced a user to engage in specific user interaction to potentially exploit heap corruption via a crafted HTML page.","CWE-416->CWE-122","Use after free ... exploit heap corruption via a crafted HTML page"
"CVE-2022-0308","CWE-416","Use after free in Data Transfer in Google Chrome on Chrome OS prior to 97.0.4692.99 allowed a remote attacker who convinced a user to engage in specific user interaction to potentially exploit heap corruption via a crafted HTML page.","CWE-416->CWE-122","Use after free ... exploit heap corruption via a crafted HTML page"
"CVE-2022-0310","CWE-122","Heap buffer overflow in Task Manager in Google Chrome prior to 97.0.4692.99 allowed a remote attacker to potentially exploit heap corruption via specific user interactions.","","Heap buffer overflow"
"CVE-2022-0311","CWE-122","Heap buffer overflow in Task Manager in Google Chrome prior to 97.0.4692.99 allowed a remote attacker who convinced a user to engage in specific user interaction to potentially exploit heap corruption via a crafted HTML page.","","Heap buffer overflow"
"CVE-2022-0318","CWE-122","Heap-based Buffer Overflow in vim/vim prior to 8.2.","","Heab-based Buffer Overflow"
"CVE-2022-0367","CWE-122","A heap-based buffer overflow flaw was found in libmodbus in function modbus_reply() in src/modbus.c.","","A heap-based buffer overflow"
"CVE-2022-0435","CWE-121","A stack overflow flaw was found in the Linux kernel's TIPC protocol functionality in the way a user sends a packet with malicious content where the number of domain member nodes is higher than the 64 allowed. This flaw allows a remote user to crash the system or possibly escalate their privileges if they have access to the TIPC network.","","A stack overflow flaw"
